Professor,ESPORTSTMNT03_520935,PRG,1,0,6,189214,6893,26662,3125,84,26,4199,5,13202,10284,96,0,
SkyBart,ESPORTSTMNT03_520945,PRG,0,0,14,92690,7866,12563,3678,33,36,1361,1,6436,10345,191,0,
Minerva,ESPORTSTMNT03_520945,PRG,1,1,8,107122,5629,13712,6222,57,16,11008,1,20273,10178,39,103,
Goku,ESPORTSTMNT03_520945,PRG,7,1,6,164921,17419,4034,16334,35,7,1691,1,10418,13741,252,16,
LUSKKA,ESPORTSTMNT03_520945,PRG,6,0,9,182911,13964,8599,21994,38,4,5739,5,8650,14151,252,16,
Professor,ESPORTSTMNT03_520945,PRG,1,2,7,172181,4775,13671,2967,74,13,2694,5,11962,8871,73,0,
Yang,ESPORTSTMNT03_520945,VK,2,1,0,116616,3332,15141,7417,26,31,4851,1,14286,9833,229,4,
Revolta,ESPORTSTMNT03_520945,VK,0,3,4,126856,3780,17121,8819,76,19,7147,1,24174,9031,28,136,
tockers,ESPORTSTMNT03_520945,VK,2,4,0,306272,16002,4903,2622,26,29,628,3,14451,9977,223,16,
micaO,ESPORTSTMNT03_520945,VK,0,3,2,136749,12534,6543,10277,21,2,1451,5,8889,11144,249,15,
Jockster,ESPORTSTMNT03_520945,VK,0,4,3,179545,3260,19262,2909,71,13,1638,4,13446,7538,88,0,
Zantins,ESPORTSTMNT03_520947,KBM,3,1,10,234964,18461,11577,11480,28,6,27563,1,14586,16393,323,25,
Ranger,ESPORTSTMNT03_520947,KBM,2,2,13,148385,6251,26341,20543,121,9,10080,1,24500,11657,28,126,
dyNquedo,ESPORTSTMNT03_520947,KBM,1,0,10,331944,8100,10518,13881,35,17,3622,1,9958,13712,305,24,
Titan,ESPORTSTMNT03_520947,KBM,8,1,5,208749,21619,9625,28961,42,29,4879,4,12787,16687,297,32,
Riyev,ESPORTSTMNT03_520947,KBM,1,1,14,34313,5062,24925,5350,72,36,5039,5,14525,10743,94,4,
takeshi,ESPORTSTMNT03_520947,PNG,0,3,4,122674,5708,26447,0,26,17,1207,1,16108,10066,254,0,
